Nr.;Anrede;Vorname;Nachname;Stadt;Alter;Bundesland
395;k.A.;Helfried;Sielaff;Vilshofen an der Donau;32;Bayern
396;Frau;Tristan;Riederer;Gornhausen;90;Rheinland-Pfalz
397;Frau;Friedmar;Sutor;Oerel;07;Niedersachsen
398;Frau;Adelbert;Bersch;Jerrishoe;12;Schleswig-Holstein
399;Herr;Hannegret;Rist;Riebau;71;Sachsen-Anhalt
400;Herr;Elselotte;Butterweck;Dörrenbach;41;Rheinland-Pfalz
401;Herr;Myrta;Falk;Nordenham;72;Niedersachsen
402;Herr;Edgar;Stelzl;Hattingen an der Ruhr;88;Nordrhein-Westfalen
403;Frau;Colin;Deeg;Norderstedt;95;Schleswig-Holstein
404;Frau;Stefan;Schwertner;Neustadt an der Waldnaab;54;Bayern
405;Frau;Reinar;Gebhardt;Wiesbaden;57;Hessen
406;Herr;Gerhard;Simons;Frechen;01;Nordrhein-Westfalen
407;Herr;Margrid;Hollstein;Beulich;96;Rheinland-Pfalz
408;Frau;Otti;Hermes;Weeze;24;Nordrhein-Westfalen
409;Herr;Hasko;Stabel;Schwarzenfeld;29;Bayern
410;Frau;Stephanus;Zaiser;Monsheim;26;Rheinland-Pfalz
411;Herr;Theophil;Voll;Walldorf;65;Baden-Württemberg
412;Herr;Jennifer;Maruhn;Aham;67;Bayern
413;Frau;Linda;Paris;Feilsdorf;98;Rheinland-Pfalz
414;Frau;Manfred;Schnakenberg;Voigtsdorf;11;Mecklenburg-Vorpommern
415;Frau;Eginhardt;Lutsch;Niedermohr;19;Rheinland-Pfalz
416;Frau;Janne;Schulte;Homberg;34;Rheinland-Pfalz
417;Herr;Pius;Ramin;Dortmund;42;Nordrhein-Westfalen
418;Frau;Almute;Plett;Herforst;16;Rheinland-Pfalz
419;Herr;Käte;Steitz;Berlin - Neukölln;16;Berlin
420;Herr;Freddy;Demski;Aalen;63;Baden-Württemberg
421;Frau;Heimfrid;Lerner;Peißenberg;24;Bayern
422;Herr;Gertraut;Mittelbach;Rheinbrohl;91;Rheinland-Pfalz
423;Herr;Ina;Ziegert;Berngau;69;Bayern
424;Herr;Sinah;Gröber;Forstinning;07;Bayern
425;Frau;Margarethe;Mehringer;Kinsau;73;Bayern
426;Herr;Irmentraud;Murmann;Niederbachheim;90;Rheinland-Pfalz
427;Herr;Alex;Haist;Brest;59;Niedersachsen
428;Frau;Nikolas;Wendrich;Boos;46;Rheinland-Pfalz
429;Frau;Hildebert;Hohmann;Dörrebach;75;Rheinland-Pfalz
430;Frau;Volkhardt;Gerecke;Maikammer;73;Rheinland-Pfalz
431;Frau;Rotger;Greil;Imsbach;98;Rheinland-Pfalz
432;k.A.;Gertrudis;Sörensen;Berge;00;Sachsen-Anhalt
433;Frau;Thea;Haber;Detmold;49;Nordrhein-Westfalen
434;Herr;Leuthold;Merk;Isny;43;Baden-Württemberg
435;Frau;Arkadius;Lemcke;Hohenfelde;13;Schleswig-Holstein
436;k.A.;Gerolda;Lynchen;Kalübbe;68;Schleswig-Holstein
437;Herr;Burghardt;Gille;Nochern;79;Rheinland-Pfalz
438;Herr;Matilda;Ostermann;Worms;61;Rheinland-Pfalz
439;Herr;Mareike;Padberg;Immendingen;88;Baden-Württemberg
440;Herr;Gerdhilde;Rehberger;Seekirch;46;Baden-Württemberg
441;k.A.;Christiane;Münkel;Markt Schwaben;16;Bayern
442;Frau;Ortfried;Schober;Borgholzhausen;45;Nordrhein-Westfalen
443;Frau;Sigune;Grabs;Wesel am Rhein;18;Nordrhein-Westfalen
444;Frau;Sigune;Neidhart;Bevern;60;Niedersachsen
445;Frau;Heribert;Schirrmacher;Rodewald;11;Niedersachsen
446;Frau;Friedlinde;Greiser;Quierschied;12;Saarland
447;Frau;Emelie;Pavlovic;Albersdorf;24;Schleswig-Holstein
448;Herr;Susi;Brade;Süderhastedt;46;Schleswig-Holstein
449;Frau;Schorsch;Brüggemann;Sargenroth;74;Rheinland-Pfalz
450;Frau;Hanshelmut;Schwitalla;Detmold;41;Nordrhein-Westfalen
451;k.A.;Imke;Brand;Stiefenhofen;86;Bayern
452;Herr;Diethelm;Zink;Glasewitz;64;Mecklenburg-Vorpommern
453;Frau;Klaas;Büchele;Siegburg;42;Nordrhein-Westfalen
454;k.A.;Stephania;Christoph;Biberach;46;Baden-Württemberg
455;Herr;Ilse;Kohnert;Schmallenberg;03;Nordrhein-Westfalen
456;Herr;Heinzjörg;Blau;Heede;34;Niedersachsen
457;Frau;Gundhilde;Pink;Reichweiler;96;Rheinland-Pfalz
458;Frau;Janet;Schmidbauer;Wittenau;40;Berlin
459;Frau;Margit;Deger;Leipzig;35;Sachsen
460;k.A.;Hanny;Elfers;Mittelhof;10;Rheinland-Pfalz
461;Herr;Friedliese;Hiller;Bad Bentheim;92;Niedersachsen
462;Herr;Ulla;Heubach;Sulzbach;29;Rheinland-Pfalz
463;Frau;Kristin;Kahn;Hausten;31;Rheinland-Pfalz
464;Frau;Heiner;Proft;Altenkirchen;14;Rheinland-Pfalz
465;Frau;Elfi;Roggenbuck;Reken;82;Nordrhein-Westfalen
466;Herr;Theophilus;Stüven;Aiterhofen;49;Bayern
467;Frau;Jamie;Caspar;Waldalgesheim;93;Rheinland-Pfalz
468;Frau;Madlen;Bärwald;Oberreidenbach;05;Rheinland-Pfalz
469;Herr;Freddy;Wiese;Bad Bertrich;93;Rheinland-Pfalz
470;Herr;Hanshelmut;Plock;Ludwigsau;17;Hessen
471;Frau;Burkhard;Eberwein;Kappel-Grafenhausen;12;Baden-Württemberg
472;Frau;Katharina;Graichen;Schutzbach;08;Rheinland-Pfalz
473;Frau;Lotti;Steen;Hinterbirkenhof;92;Baden-Württemberg
474;Frau;Dorina;Holzer;Lauenbrück;52;Niedersachsen
475;Frau;Wernhild;Hasenbein;Wanna;34;Niedersachsen
476;Frau;Hannerose;Preller;Hohentengen am Hochrhein;16;Baden-Württemberg
477;Herr;Herko;Schomann;Kröv;58;Rheinland-Pfalz
478;Frau;Hellgard;Pankratz;Allersberg;11;Bayern
479;Herr;Cläre;Hiemer;Mähren;88;Rheinland-Pfalz
480;Herr;Raingardis;Trommer;Tiefenthal;22;Rheinland-Pfalz
481;Frau;Gebhart;Steinhausen;Ohlstadt;37;Bayern
482;Herr;Damaris;Drewitz;Pfedelbach;94;Baden-Württemberg
483;Herr;Rosemaria;Bestmann;Zirkow;35;Mecklenburg-Vorpommern
484;Herr;Joschua;Weis;Bönen;61;Nordrhein-Westfalen
485;Frau;Fini;Amend;Schwarzenbek;22;Schleswig-Holstein
486;Herr;Marilene;Seidler;Münster;08;Nordrhein-Westfalen
487;Herr;Raingardis;Kauf;Steinen;35;Rheinland-Pfalz
488;k.A.;Fenja;Grieser;Groß-Bieberau;93;Hessen
489;Herr;Ehrentraud;Deters;Mutterschied;31;Rheinland-Pfalz
490;Frau;Gernod;Wöllner;Kassel;69;Hessen
491;Herr;Bertlinde;Schumacher;Gemünden;90;Hessen
492;Frau;Karlgünter;Stelling;Altenbeken;39;Nordrhein-Westfalen
493;Herr;Erdfried;Dölling;Westermoor;18;Schleswig-Holstein
494;k.A.;Gismar;Koplin;Rehe;48;Rheinland-Pfalz
495;Frau;Damian;Mund;Langendamm;03;Niedersachsen
496;Herr;Helma;Bodden;Dichtelbach;80;Rheinland-Pfalz
497;Herr;Berngard;Heindl;Gimbweiler;41;Rheinland-Pfalz
498;Herr;Henrik;Winterberg;Wartenberg;95;Hessen
499;Frau;Treuhard;Porsch;Renningen;00;Baden-Württemberg
500;Herr;Hannsgeorg;Matzen;Friesenried;13;Bayern
501;Frau;Flora;Worms;Hechingen;53;Baden-Württemberg
502;Herr;Emelie;Simpson;Heilshoop;63;Schleswig-Holstein
503;Frau;Annekristin;Teutsch;Untermeitingen;18;Bayern
504;Frau;Hanneliese;Eschmann;Völkersweiler;93;Rheinland-Pfalz
505;k.A.;Agilmar;Zwiener;Lamstedt;23;Niedersachsen
506;Herr;Yannik;Strothmann;Dommershausen;72;Rheinland-Pfalz
507;k.A.;Rolf;Kistler;Iserlohn;10;Nordrhein-Westfalen
508;Frau;Rabea;Kügler;Gelsenkirchen;66;Nordrhein-Westfalen
509;Frau;Theodore;Freyer;Efringen-Kirchen;02;Baden-Württemberg
510;Herr;Silas;Ebeling;Deizisau;46;Baden-Württemberg
511;Frau;Dorothee;Banzhaf;Schleid;15;Rheinland-Pfalz
512;Frau;Annkathrin;Vorwerk;Haigerloch;29;Baden-Württemberg
513;Herr;Hannegret;Bodenstein;Müllheim;48;Baden-Württemberg
514;Herr;Ludolf;Emmel;Bopfingen;09;Baden-Württemberg
515;Herr;Vanessa;Wienke;Wiesbaden;08;Hessen
516;Herr;Sandra;Möbus;Oberjettingen;38;Baden-Württemberg
517;Frau;Sigtrud;Herrera;Leiwen;62;Rheinland-Pfalz
518;Frau;Dethard;Tietjen;Drelsdorf;43;Schleswig-Holstein
519;Herr;Evelyn;Bieber;Hohenöllen;12;Rheinland-Pfalz
520;k.A.;Mirjam;Weißflog;Dortmund;00;Nordrhein-Westfalen
521;Herr;Nora;Gatz;Oelixdorf;74;Schleswig-Holstein
522;Herr;Caroline;Senft;Grube;20;Schleswig-Holstein
523;Herr;Karolina;Sommer;Münster;42;Nordrhein-Westfalen
524;Herr;Thekla;Nienstedt;Kiel;75;Schleswig-Holstein
525;Herr;Falkhard;Pfützner;Nastätten;99;Rheinland-Pfalz
526;Frau;Erlfried;Milde;Godendorf;31;Mecklenburg-Vorpommern
527;k.A.;Marinette;Alber;Brombachtal;90;Hessen
528;Frau;Framhild;Kull;Dammbach;38;Bayern
529;Frau;Thies;Weisel;Lengefeld;44;Sachsen-Anhalt
530;Herr;Irmhild;Rentz;Lansen-Schönau;21;Mecklenburg-Vorpommern
531;Frau;Wilmut;Ferstl;Wernigerode;68;Sachsen-Anhalt
532;Frau;Christiane;Wanninger;Malbergweich;76;Rheinland-Pfalz
533;Frau;Renata;Sharp;Herrstein;73;Rheinland-Pfalz
534;Herr;Paulfried;Oelmann;Dörphof;01;Schleswig-Holstein
535;Herr;Ottilia;Habicht;Dinslaken;93;Nordrhein-Westfalen
536;Herr;Janfried;Vossen;Oberteuringen;23;Baden-Württemberg
537;Herr;Helmtrud;Brugger;Sonnschied;22;Rheinland-Pfalz
538;Frau;Adelina;Haupenthal;Hildesheim;65;Niedersachsen
539;Herr;Wolfhart;Hemmerich;Burbach;64;Rheinland-Pfalz
540;Herr;Edmar;Radke;Schossin;58;Mecklenburg-Vorpommern
541;Herr;Smilla;Dörre;Iserlohn;49;Nordrhein-Westfalen
542;Herr;Gerdhild;Hüttl;Schillingen;78;Rheinland-Pfalz
543;Herr;Wiegbert;Kölsch;Odisheim;30;Niedersachsen
544;Herr;Chiara;Kemmerling;Gusterath;04;Rheinland-Pfalz
545;Frau;Keno;Malsch;Forstern;24;Bayern
546;Frau;Melisande;Ringe;Essen;93;Nordrhein-Westfalen
547;Frau;Helmut;Mathes;Varrel;31;Niedersachsen
548;Herr;Burchard;Ebner;Eiterfeld;66;Hessen
549;Frau;Trautchen;Mutlu;Wessin;42;Mecklenburg-Vorpommern
550;Herr;Renold;Hochstein;Rehlingen-Siersburg;73;Saarland
551;Herr;Ilselore;Gajewski;Zusamaltheim;36;Bayern
552;Herr;Jonny;Stute;Berenbach;63;Rheinland-Pfalz
553;Frau;Helen;Kämpfe;Nienbüttel;14;Schleswig-Holstein
554;Frau;Follrich;Porsch;Schermbeck;51;Nordrhein-Westfalen
555;Frau;Walfriede;Fröse;Saarbrücken;96;Saarland
556;Herr;Karolina;Falk;Freilingen;21;Rheinland-Pfalz
557;Herr;Arndt;Schelling;Lorup;99;Niedersachsen
558;Frau;Ottilia;Meixner;Hademstorf;88;Niedersachsen
559;Frau;Raphaela;Mikus;Herrieden;92;Bayern
560;Frau;Benediktus;McKinney;Sprockhövel;94;Nordrhein-Westfalen
561;Herr;Hubertina;Kratzsch;Tarmstedt;15;Niedersachsen
562;Herr;Gabriela;Rauscher;Neuhemsbach;30;Rheinland-Pfalz
563;Frau;Isidor;Kalisch;Bruch;84;Rheinland-Pfalz
564;Frau;Theolinde;Pötzsch;Neuss;99;Nordrhein-Westfalen
565;Frau;Bertina;Bodenmüller;Soyen;50;Bayern
566;Frau;Dieterich;Steinhauser;Kropp;74;Schleswig-Holstein
567;k.A.;Johannette;Radtke;Sörth;86;Rheinland-Pfalz
568;Frau;Edelfried;Petzold;Erpel;76;Rheinland-Pfalz
569;Frau;Florentius;Klauer;Karlsruhe;24;Baden-Württemberg
570;Frau;Birgit;Heitmann;Jörl;30;Schleswig-Holstein
571;Herr;Giesbert;Horsch;Kaschenbach;65;Rheinland-Pfalz
572;k.A.;Dietger;Polte;Blaichach;48;Bayern
573;Herr;Friedhild;Stanzel;Liebenscheid;73;Rheinland-Pfalz
574;Herr;Denny;Höhmann;Wabern;64;Hessen
575;Herr;Nike;Rehn;Oberpierscheid;30;Rheinland-Pfalz
576;Frau;Friedwald;Köse;Affler;61;Rheinland-Pfalz
577;Herr;Isolde;Vesper;Heimbuchenthal;30;Bayern
578;Frau;Annedore;Bingel;Eisighofen;03;Rheinland-Pfalz
579;Frau;Wiltraud;Paetsch;Bonstetten;93;Bayern
580;Frau;Cathleen;Kalkbrenner;Brodersby;70;Schleswig-Holstein
581;Frau;Friedolf;Rahe;Wiesbach;98;Rheinland-Pfalz
582;Herr;Wilhard;Brünjes;Großlittgen;78;Rheinland-Pfalz
583;Frau;Gislind;Reining;Herbolzheim;14;Baden-Württemberg
584;Frau;Bringfriede;Wiesner;Rodenbach;00;Rheinland-Pfalz
585;Frau;Wido;Hamilton;Unterammergau;80;Bayern
586;Frau;Otthold;Wever;Augustdorf;05;Nordrhein-Westfalen
587;Herr;Kora;Fleischmann;Hattersheim am Main;92;Hessen
588;Herr;Thorsten;Schrodt;Berlin;05;Berlin
589;Frau;Ascan;Theissen;Horn-Bad Meinberg;59;Nordrhein-Westfalen
590;Herr;Diemut;Füssel;Neuerburg;67;Rheinland-Pfalz
591;Frau;Matthis;Walkowiak;Goslar;28;Niedersachsen
592;Frau;Helm;Liebe;Rastede;43;Niedersachsen
593;Frau;Bertina;Mendel;Battweiler;03;Rheinland-Pfalz
594;Herr;Robby;Schuff;Diepensee;76;Brandenburg
595;Frau;Liebhardt;Harders;Rettenbach am Auerberg;42;Bayern
596;k.A.;Sigtraud;Moss;Niederfüllbach;38;Bayern
597;Frau;Einhard;Baltzer;Althengstett;19;Baden-Württemberg
598;Herr;Rasmus;Geiselhart;Kassel;33;Hessen
599;Herr;Marilene;Elsholz;Berg;95;Bayern
600;Herr;Gerta;Gräbner;Dackenheim;41;Rheinland-Pfalz
601;k.A.;Hansjochen;Künstler;Magdeburg;53;Sachsen-Anhalt
602;k.A.;Heintje;Rothmund;Offenburg;76;Baden-Württemberg
603;Herr;Mechtild;Kreis;Ohmden;49;Baden-Württemberg
604;Herr;Gustav;Boos;Kerken;92;Nordrhein-Westfalen
605;Herr;Hilderose;Moch;Gägelow;23;Mecklenburg-Vorpommern
606;Frau;Randolf;Gehlen;Leussow;52;Mecklenburg-Vorpommern
607;Herr;Eberhardt;Eisenbach;Weichering;13;Bayern
608;Frau;Heinzwerner;Demmel;Heilbach;59;Rheinland-Pfalz
609;Frau;Ehrentraut;Radmacher;Fensdorf;92;Rheinland-Pfalz
610;Frau;Gismar;Sohns;Langstedt;97;Schleswig-Holstein
611;Frau;Isabell;Höft;Laudenbach;23;Bayern
612;Frau;Rothmund;Dippel;Schönau;40;Baden-Württemberg
613;Herr;Maurus;Kreuter;Unterwaldhausen;60;Baden-Württemberg
614;Herr;Karlfrieder;Luthardt;Zetel;96;Niedersachsen
615;Frau;Hilar;Wissing;Taben-Rodt;28;Rheinland-Pfalz
616;Frau;Bolko;Holtmann;Galmsbüll;07;Schleswig-Holstein
617;Herr;Therese;Kulzer;Bad Lauterberg;98;Niedersachsen
618;Herr;Tilo;Alten;Neusitz;36;Bayern
619;Herr;Ermelinde;Hajek;Leiningen;29;Rheinland-Pfalz
620;Frau;Elselotte;Feddern;Neuerkirch;16;Rheinland-Pfalz
621;Frau;Ottilie;Kemnitz;Berlin;06;Berlin
622;Frau;Heiner;Weiß;Eppelsheim;43;Rheinland-Pfalz
623;Herr;Liah;Thode;Kalenborn;49;Rheinland-Pfalz
624;Herr;Oslinde;Liehr;Ney;27;Rheinland-Pfalz
625;Frau;Lidwina;Kober;Köln;78;Nordrhein-Westfalen
626;Frau;Golo;Kölle;Messel;84;Hessen
627;Frau;Marei;Leitl;Hasselbach;42;Rheinland-Pfalz
628;Frau;Waldburgis;Reddig;Wannefeld;64;Sachsen-Anhalt
629;k.A.;Marlon;Scharrer;Espenau;58;Hessen
630;Herr;Erfried;Hasler;Fahrenzhausen;47;Bayern
631;Herr;Jason;Delgado;Rohrbach;78;Rheinland-Pfalz
632;Herr;Lotti;Brenner;Philippsthal;58;Hessen
633;k.A.;Karsta;Röck;Osterbruch;53;Niedersachsen
634;Frau;Wilfrid;Stang;Bremen;87;Bremen
635;Herr;Ursel;Meiners;Brenk;99;Rheinland-Pfalz
636;k.A.;Gottfriede;Preußner;Bergheim;90;Nordrhein-Westfalen
637;Herr;Franka;Metzen;Filsum;78;Niedersachsen
638;k.A.;Steffi;Deneke;Gottfrieding;54;Bayern
639;Herr;Herrmann;Selent;Kaltenborn;27;Rheinland-Pfalz
640;Herr;Ursula;Biersack;Nürtingen;51;Baden-Württemberg
641;Herr;Mareile;Fessler;Sörth;55;Rheinland-Pfalz
642;Frau;Xaverius;Fuerst;Bundenthal;84;Rheinland-Pfalz
643;Frau;Adeltraut;Tolksdorf;Harbach;45;Rheinland-Pfalz
644;Frau;Henriette;Schätzle;Lengede;85;Niedersachsen
645;Herr;Finnja;Thompson;Laufersweiler;33;Rheinland-Pfalz
646;Frau;Sebald;Langguth;Düsseldorf;04;Nordrhein-Westfalen
647;Herr;Tara;Angerer;Rudelzhausen;37;Bayern
648;Herr;Monika;Reiter;Steffeln;46;Rheinland-Pfalz
649;Herr;Notker;Kettler;Vogtareuth;98;Bayern
650;Herr;Raphaela;Streit;Alzenau;63;Bayern
651;Herr;Kiara;Tietje;Wuppertal;94;Nordrhein-Westfalen
652;Herr;Anneruth;Kötting;Goosefeld;34;Schleswig-Holstein
653;k.A.;Constanze;Protz;Wohnste;84;Niedersachsen
654;Herr;Serafine;Börger;Groß Gievitz;79;Mecklenburg-Vorpommern
655;Herr;Ottmar;Pope;Hundsdorf;19;Rheinland-Pfalz
656;Herr;Korbinian;Wesch;Kollweiler;74;Rheinland-Pfalz
657;Herr;Randolph;Lindenthal;Hellertshausen;19;Rheinland-Pfalz
658;Frau;Siegenot;Lottmann;Barßel;56;Niedersachsen
659;Herr;Willy;Aschenbach;Waigandshain;51;Rheinland-Pfalz
660;Herr;Louis;Spreng;Kempfeld;94;Rheinland-Pfalz
661;Frau;Anuschka;Robl;Lorch;42;Hessen
662;Frau;Tara;Schellhorn;Heddesbach;94;Baden-Württemberg
663;Herr;Elkmar;Schönfelder;Heimborn;26;Rheinland-Pfalz
664;Frau;Brigitta;Peuker;Vohenstrauß;07;Bayern
665;Herr;Borka;Schätz;Barnin;46;Mecklenburg-Vorpommern
666;Herr;Käthe;Schnorr;Nürnberg;95;Bayern
667;Frau;Martrud;Henschke;Neuberg;05;Hessen
668;Herr;Sieghart;Wasner;Nutha;15;Sachsen-Anhalt
669;Herr;Abraham;Hübert;Dorsel;70;Rheinland-Pfalz
670;Frau;Folkhart;Floyd;Reil;08;Rheinland-Pfalz
671;Frau;Katrina;Moers;Ködnitz;31;Bayern
672;Herr;Matti;Dyck;Freiberg am Neckar;99;Baden-Württemberg
673;Frau;Antonius;Neuhauser;Bärweiler;84;Rheinland-Pfalz
674;Herr;Liborius;Suck;Bargfeld-Stegen;30;Schleswig-Holstein
675;Herr;Aslind;Holtmann;Seelitz;56;Sachsen
676;Frau;Annedore;Richartz;Minden;95;Nordrhein-Westfalen
677;Herr;Kordelia;Kürzinger;Rinzenberg;39;Rheinland-Pfalz
678;Herr;Wolfried;Mähler;Horgau;45;Bayern
679;Frau;Bennett;Kupka;Frankfurt am Main;90;Hessen
680;Frau;Julien;Laser;Bröckel;78;Niedersachsen
681;Herr;Ludger;Wiedner;Aalen;08;Baden-Württemberg
682;Herr;Friedbald;Kunzmann;Griebelschied;69;Rheinland-Pfalz
683;Herr;Christella;Lanzinger;Kösching;74;Bayern
684;Herr;Runfried;Vega;Pintesfeld;68;Rheinland-Pfalz
685;Herr;Bartold;Brüggemann;Moers;24;Nordrhein-Westfalen
686;Frau;Resilotte;Angermann;Molbergen;53;Niedersachsen
687;Herr;Maren;Callsen;Bitburg;54;Rheinland-Pfalz
688;Herr;Almtrud;Platzer;Hagen;76;Schleswig-Holstein
689;k.A.;Siegenot;Güth;Oberwesel;94;Rheinland-Pfalz
690;k.A.;Irmelinde;Christen;Obrigheim;27;Rheinland-Pfalz
691;Herr;Florentius;Stöver;Wassenach;07;Rheinland-Pfalz
692;Herr;Sylvester;Kremers;Berscheid;31;Rheinland-Pfalz
693;Frau;Egomar;Kraus;Grattersdorf;90;Bayern
694;Herr;Gottwalt;Lasch;Partenheim;06;Rheinland-Pfalz
695;Frau;Sigbert;Heid;Bersenbrück;42;Niedersachsen
696;Herr;Reinhold;Homuth;Miltach;86;Bayern
697;Herr;Curd;Giesa;Dahlem;60;Berlin
698;Frau;Ottmar;Wisser;Ellscheid;72;Rheinland-Pfalz
699;Herr;Clementine;Hanselmann;Lohfelden;34;Hessen
700;Frau;Ilrich;Seyfried;Hesweiler;06;Rheinland-Pfalz
701;k.A.;Sonja;Rätz;Oldenhütten;20;Schleswig-Holstein
702;Herr;Erik;Kleeberg;Hünfeld;18;Hessen
703;Frau;Elmar;Niendorf;Bietigheim-Bissingen;96;Baden-Württemberg
704;Frau;Burkard;Lieske;Langen;85;Hessen
705;Herr;Ruth;Hoops;Meerbusch;31;Nordrhein-Westfalen
706;Frau;Meinfriede;Riesen;Elsterwerda;86;Brandenburg
707;Herr;Annakatrin;Heidmann;Augsburg;51;Bayern
708;Herr;Augustin;Rüffer;Biebesheim am Rhein;82;Hessen
709;Herr;Gottlieb;Weihmann;Hannover;54;Niedersachsen
710;Frau;Ireneus;Arendt;Kaisborstel;34;Schleswig-Holstein
711;Frau;Timm;Wanka;Uelsen;68;Niedersachsen
712;Frau;Jupp;Schnieder;Urbach;25;Rheinland-Pfalz
713;Frau;Else;Tomic;Martfeld;17;Niedersachsen
714;Herr;Mika;Kipp;Farven;01;Niedersachsen
715;k.A.;Margaritta;Brinkmann;Berlin - Neukölln;47;Berlin
716;Frau;Bernhardin;Hogan;Oberpierscheid;82;Rheinland-Pfalz
717;Herr;Edwina;Lawson;Ulm;32;Baden-Württemberg
718;k.A.;Liebgard;Winterberg;Aalen;52;Baden-Württemberg
719;Frau;Ingeborg;Lenke;Ohne;53;Niedersachsen
720;k.A.;Jolanta;Wittmann;Köln;20;Nordrhein-Westfalen
721;Frau;Biggi;Kohrs;Hagenburg;95;Niedersachsen
722;Frau;Nepomuk;Molzahn;Waxweiler;22;Rheinland-Pfalz
723;Herr;Karlfriedrich;Deck;Lauenförde;95;Niedersachsen
724;Herr;Ute;Gräbner;Vohburg an der Donau;30;Bayern
725;Frau;Justin;Vasquez;Kernen;91;Baden-Württemberg
726;Frau;Lenore;Rentsch;Bleckhausen;58;Rheinland-Pfalz
727;Frau;Claas;Börsch;Oberteuringen;81;Baden-Württemberg
728;Herr;Ingolf;Königsmann;Dinslaken;23;Nordrhein-Westfalen
729;Frau;Engelhard;Zingler;Lüder;83;Niedersachsen
730;Herr;Leonhardt;Schemmel;Wildberg;64;Mecklenburg-Vorpommern
731;Herr;Emanuel;Scheiermann;Darmstadt;07;Hessen
732;Frau;Siegwart;Bodenmüller;Münster;27;Nordrhein-Westfalen
733;Herr;Stephan;Hettwer;Birkenwerder;47;Brandenburg
734;Herr;Axel;Höller;Körborn;31;Rheinland-Pfalz
735;Herr;Gertwin;Behme;Birkenbeul;92;Rheinland-Pfalz
736;Frau;Brigitte;Nemitz;Groß Berßen;40;Niedersachsen
737;Herr;Volkbert;Hines;Ransweiler;86;Rheinland-Pfalz
738;Herr;Burchard;Michelsen;Dennweiler-Frohnbach;90;Rheinland-Pfalz
739;Frau;Traudel;Kleine;Buch am Buchrain;45;Bayern
740;Herr;Willehad;Burggraf;Gauersheim;98;Rheinland-Pfalz
741;Herr;René;Stephan;Aidhausen;29;Bayern
742;Frau;Friedliese;Urban;Oberneukirchen;90;Bayern
743;Frau;Herlind;Dörries;Queidersbach;44;Rheinland-Pfalz
744;Frau;Emmeran;Thießen;Rehborn;03;Rheinland-Pfalz
745;Herr;Mischel;Fernandes;Auw;28;Rheinland-Pfalz
746;Herr;Sonnhard;Behnisch;Eschelbronn;68;Baden-Württemberg
747;k.A.;Hubert;Weerts;Falkenstein;22;Bayern
748;Frau;Gottholde;Kossmann;Insheim;50;Rheinland-Pfalz
749;Frau;Meinfriede;Weinreich;Olsbrücken;56;Rheinland-Pfalz
750;Frau;Leonard;Bringmann;Sauerlach;20;Bayern
751;Frau;Ferdinande;Dohrmann;Langenorla;59;Thüringen
752;Herr;Desiree;Schikora;Wiesweiler;11;Rheinland-Pfalz
753;k.A.;Karsten;Fehr;Nützen;25;Schleswig-Holstein
754;Herr;Anke;Lübbers;Dingolfing;43;Bayern
755;Herr;Babette;Mages;Wesselburener Deichhausen;82;Schleswig-Holstein
756;Herr;Ehrhard;Graf;Calw;21;Baden-Württemberg
757;k.A.;Gislinde;Wetzel;Cramberg;18;Rheinland-Pfalz
758;Herr;Madleine;Kempter;Braunschweig;39;Niedersachsen
759;Frau;Annkathrin;Schellhorn;Rüting;55;Mecklenburg-Vorpommern
760;Herr;Agilbert;Hensen;Kallstadt;26;Rheinland-Pfalz
761;Frau;Ambros;Lutzenberger;Saarwellingen;99;Saarland
762;Herr;Hannsgeorg;Hochstein;Spay;70;Rheinland-Pfalz
763;Herr;Felizia;Fritsche;Hartenfels;52;Rheinland-Pfalz
764;k.A.;Heimgard;Rogalski;Oberehe-Stroheich;67;Rheinland-Pfalz
765;Herr;Freimund;Weichel;Völklingen;00;Saarland
766;Herr;Dietbald;Eder;Stuttgart;18;Baden-Württemberg
767;Frau;Ottheinz;Dogan;Halsbach;16;Bayern
768;Frau;Corinna;Eßmann;Barver;64;Niedersachsen
769;Herr;Waltrudis;Piehl;Schorssow;48;Mecklenburg-Vorpommern
770;Frau;Hendrik;Mason;Gelsenkirchen;16;Nordrhein-Westfalen
771;Herr;Editha;Vögele;Hoppstädten-Weiersbach;35;Rheinland-Pfalz
772;Herr;Stefani;Seeberger;Kampen;25;Schleswig-Holstein
773;k.A.;Hadmuthe;Nebelung;Zeltingen-Rachtig;67;Rheinland-Pfalz
774;Frau;Lidwina;Saupe;Frankfurt am Main;55;Hessen
775;Frau;Elke;Heiderich;Fischbach;93;Rheinland-Pfalz
776;Herr;Irmgart;Tesch;Bahrenborstel;40;Niedersachsen
777;Frau;Lindmar;Stadler;Lunden;05;Schleswig-Holstein
778;k.A.;Just;Zeise;München;37;Bayern
779;Herr;Augustinus;Scholtz;Vilsheim;60;Bayern
780;Herr;Burgunda;Eppler;Weiding;62;Bayern
781;Herr;Wolfhelm;Zinke;Koxhausen;78;Rheinland-Pfalz
782;Frau;Fidelius;Tran;Köppern;85;Hessen
783;Herr;Stefani;Lücke;Neuenstadt am Kocher;88;Baden-Württemberg
784;Herr;Ferfried;Hötzel;Wiesbaden;89;Hessen
785;Frau;Heimtraud;Aksu;Vellberg;70;Baden-Württemberg
786;Frau;Arnim;Sutor;Selchenbach;12;Rheinland-Pfalz
